x_uncompressed,y_uncompressed,z_uncompressed,z_decompressed,y_decompressed,z_decompressed,distance
8.935,8.379,0.034,0.034,8.378,8.935,0.000999451
8.887,8.386,0.034,0.034,8.385,8.886,0.00141344
8.831,8.387,0.035,0.035,8.386,8.831,0.000999451
8.788,8.398,0.035,0.035,8.397,8.787,0.00141344
8.717,8.382,0.036,0.035,8.381,8.716,0.00173142
8.688,8.381,0.036,0.035,8.38,8.687,0.00173142
8.631,8.379,0.037,0.037,8.378,8.63,0.00141344
8.581,8.382,0.037,0.037,8.381,8.581,0.000999451
8.534,8.389,0.038,0.037,8.388,8.534,0.00141382
8.502,8.41,0.038,0.037,8.409,8.501,0.00173142
8.498,8.46,0.037,0.037,8.459,8.497,0.00141344
8.503,8.517,0.037,0.037,8.516,8.503,0.0010004
8.497,8.565,0.036,0.035,8.564,8.496,0.00173142
8.512,8.607,0.036,0.035,8.607,8.511,0.00141382
8.525,8.675,0.035,0.035,8.674,8.524,0.00141411
8.524,8.729,0.035,0.035,8.728,8.523,0.00141344
8.537,8.798,0.034,0.034,8.798,8.536,0.000999451
8.536,8.852,0.033,0.032,8.851,8.535,0.00173252
8.584,8.958,0.032,0.032,8.957,8.583,0.00141344
8.601,9.033,0.031,0.03,9.032,8.6,0.00173142
8.634,9.096,0.03,0.029,9.095,8.633,0.00173142
8.65,9.171,0.029,0.028,9.17,8.649,0.00173142
8.574,9.147,0.03,0.029,9.147,8.574,0.001
8.696,9.337,0.027,0.027,9.336,8.695,0.00141344
8.706,9.407,0.026,0.026,9.406,8.706,0.000999451
8.748,9.512,0.024,0.024,9.511,8.747,0.00141344
8.761,9.587,0.024,0.024,9.586,8.76,0.00141344
8.786,9.675,0.022,0.021,9.674,8.785,0.00173252
11.053,8.354,-0.085,-0.086,8.353,11.053,0.00141383
11.015,8.381,-0.085,-0.086,8.38,11.015,0.00141383
11.019,8.438,-0.086,-0.087,8.437,11.018,0.00173141
11.124,8.574,-0.089,-0.09,8.574,11.123,0.00141383
11.122,8.628,-0.09,-0.091,8.627,11.121,0.00173196
11.113,8.677,-0.091,-0.091,8.676,11.112,0.00141344
11.126,8.744,-0.092,-0.093,8.744,11.126,0.001
10.996,8.67,-0.089,-0.09,8.669,10.996,0.00141383
11.061,8.777,-0.091,-0.091,8.777,11.06,0.000999451
10.594,8.462,-0.079,-0.08,8.461,10.593,0.00173141
10.427,8.383,-0.075,-0.076,8.383,10.426,0.00141382
10.363,8.386,-0.074,-0.075,8.385,10.362,0.00173142
10.278,8.37,-0.073,-0.073,8.369,10.277,0.00141344
10.242,8.395,-0.073,-0.073,8.395,10.241,0.000999451
10.197,8.412,-0.072,-0.072,8.411,10.196,0.00141344
10.167,8.414,-0.072,-0.072,8.413,10.166,0.00141344
10.097,8.41,-0.07,-0.071,8.409,10.096,0.00173142
9.914,8.417,-0.068,-0.069,8.416,9.913,0.00173141
9.849,8.416,-0.067,-0.068,8.416,9.848,0.00141383
11.178,9.637,-0.104,-0.105,9.636,11.178,0.00141382
9.675,8.4,-0.064,-0.065,8.399,9.674,0.00173196
9.626,8.411,-0.063,-0.064,8.41,9.626,0.0014145
9.565,8.411,-0.062,-0.062,8.41,9.564,0.00141411
9.513,8.418,-0.061,-0.062,8.417,9.512,0.00173197
9.432,8.399,-0.06,-0.06,8.398,9.431,0.00141344
9.378,8.405,-0.059,-0.06,8.404,9.378,0.00141382
9.343,8.399,-0.058,-0.058,8.398,9.343,0.000999451
9.254,8.372,-0.057,-0.058,8.371,9.253,0.00173142
9.226,8.4,-0.057,-0.058,8.399,9.225,0.00173142
9.192,8.422,-0.056,-0.057,8.421,9.192,0.00141382
10.432,9.89,-0.096,-0.097,9.89,10.431,0.00141383
10.382,9.904,-0.096,-0.097,9.904,10.381,0.00141315
10.339,9.926,-0.095,-0.095,9.925,10.338,0.00141344
10.206,9.86,-0.092,-0.093,9.859,10.206,0.00141383
10.131,9.911,-0.092,-0.093,9.91,10.13,0.00173197
8.543,8.443,-0.047,-0.047,8.442,8.542,0.00141411
8.5,8.453,-0.046,-0.047,8.452,8.499,0.00173142
